Gene	sgRNA	D18_DMSO|beta	D18_DMSO|z	D18_DMSO|p-value	D18_DMSO|fdr	D18_DMSO|wald-p-value	D18_DMSO|wald-fdr	D18_CompB|beta	D18_CompB|z	D18_CompB|p-value	D18_CompB|fdr	D18_CompB|wald-p-value	D18_CompB|wald-fdr
PRIMA1	6	-0.12652	-1.2033	0.53452	0.90205	0.22886	0.47076	-0.12074	-1.1566	0.55478	0.94512	0.24745	0.49959
PRKAA1	6	-0.078435	-0.33868	0.72202	0.9588	0.73485	0.86019	-0.13262	-0.57697	0.51608	0.9392	0.56396	0.76089
PRKAA2	6	-0.11	-0.71914	0.59608	0.92132	0.47206	0.68158	-0.058542	-0.38596	0.79813	0.97335	0.69953	0.84055
PRKAB1	6	0.066088	0.65036	0.65042	0.93856	0.51546	0.71333	-0.047495	-0.46919	0.84504	0.97561	0.63894	0.81484
PRKAB2	6	-0.10432	-0.74554	0.61816	0.92581	0.45595	0.67087	-0.051628	-0.37268	0.82674	0.97374	0.70939	0.84702
PRKACA	6	-0.056645	-0.52248	0.81145	0.97746	0.60133	0.77478	0.012169	0.11346	0.88839	0.98066	0.90967	0.95563
PRKACB	6	0.33597	1.4208	0.044992	0.52331	0.15537	0.38815	0.3234	1.3747	0.054574	0.57557	0.16924	0.41723
PRKACG	6	-0.033291	-0.40794	0.91129	0.98746	0.68332	0.8291	0.061127	0.75302	0.67899	0.96883	0.45144	0.67892
PRKAG1	6	-0.41679	-2.8084	0.051974	0.55051	0.0049784	0.093975	-0.61769	-4.1831	0.01013	0.31988	2.8757e-05	0.0050184
PRKAG2	6	0.074886	0.47377	0.61415	0.92496	0.63566	0.79652	0.14764	0.94228	0.3634	0.88371	0.34605	0.59081
PRKAG3	6	-0.18806	-1.2494	0.35067	0.84897	0.2115	0.45322	-0.15747	-1.053	0.43486	0.91319	0.29236	0.54183
PRKAR1A	6	0.25914	1.555	0.11618	0.69596	0.11994	0.34037	0.31568	1.909	0.060963	0.58544	0.056256	0.25275
PRKAR1B	6	0.17202	1.0827	0.28314	0.81222	0.27893	0.52038	0.17581	1.1107	0.28309	0.85211	0.2667	0.51828
PRKAR2A	6	0.20044	1.7403	0.21697	0.81106	0.0818	0.2873	0.33942	2.9713	0.044536	0.54273	0.002965	0.065983
PRKAR2B	6	-0.022551	-0.18957	0.95939	0.9947	0.84965	0.92439	-0.012591	-0.10654	0.99808	0.99982	0.91516	0.95836
PRKCA	6	0.10121	0.56083	0.51253	0.89878	0.57491	0.75583	0.070886	0.39571	0.63856	0.96137	0.69232	0.84055
PRKCB	6	-0.073552	-1.1535	0.74063	0.96237	0.24871	0.49104	-0.092329	-1.4549	0.66064	0.96565	0.1457	0.39143
PRKCD	6	-0.21754	-1.4378	0.28287	0.81222	0.15048	0.3815	-0.094733	-0.63574	0.6522	0.96375	0.52495	0.73266
PRKCDBP	6	-0.0629	-0.29784	0.78503	0.97226	0.76583	0.8769	-0.14709	-0.7	0.46735	0.92437	0.48393	0.70266
PRKCE	6	0.2059	2.536	0.20611	0.80445	0.011212	0.13317	0.22004	2.7294	0.18344	0.7831	0.0063458	0.094481
PRKCG	6	0.14735	1.2975	0.35533	0.85085	0.19445	0.43333	0.12031	1.0676	0.44946	0.91756	0.28569	0.53508
PRKCH	6	-0.11642	-0.60536	0.57066	0.91173	0.54494	0.73451	-0.12924	-0.67847	0.52695	0.94029	0.49747	0.71305
PRKCI	6	-0.10764	-0.74556	0.60557	0.92339	0.45593	0.67087	-0.066587	-0.46509	0.76477	0.97308	0.64187	0.81687
PRKCQ	6	0.2048	1.3745	0.20803	0.8056	0.16929	0.40453	0.13361	0.90132	0.40853	0.90636	0.36742	0.6095
PRKCSH	6	0.087831	0.71523	0.56153	0.90964	0.47447	0.68304	0.1478	1.2127	0.36277	0.88324	0.22525	0.47807
PRKCZ	6	-0.21538	-2.0183	0.2877	0.81389	0.043563	0.22624	-0.087032	-0.82329	0.68095	0.96883	0.41034	0.64598
PRKD1	6	0.032943	0.43735	0.79138	0.97395	0.66185	0.81458	-0.014244	-0.19003	0.99005	0.99798	0.84928	0.92363
PRKD2	6	-0.25237	-2.5025	0.21451	0.81106	0.012332	0.13875	-0.1727	-1.7208	0.39124	0.89611	0.085295	0.30668
PRKD3	6	-0.069895	-0.76934	0.75556	0.96582	0.44169	0.65843	0.030717	0.34136	0.80721	0.97374	0.73283	0.86129
PRKDC	6	0.00067482	0.0079616	0.93329	0.98946	0.99365	0.99674	-0.0091754	-0.10903	0.98654	0.99728	0.91318	0.95725
PRKG1	6	-0.059974	-0.89687	0.79749	0.97539	0.36979	0.59758	0.032104	0.48391	0.80105	0.97374	0.62845	0.80701
PRKG2	6	-0.050056	-0.50061	0.8386	0.9796	0.61665	0.78463	0.075601	0.76397	0.62017	0.95794	0.44489	0.67328
PRKRA	6	-0.36902	-2.5652	0.080356	0.6258	0.010311	0.12926	-0.24523	-1.7221	0.22783	0.81939	0.085045	0.30629
PRKRIP1	6	0.17863	0.86006	0.26635	0.81145	0.38976	0.61419	0.17466	0.84823	0.28597	0.85319	0.39631	0.63434
PRKRIR	6	-0.4075	-1.8895	0.056217	0.56264	0.058822	0.24852	-0.37491	-1.76	0.077937	0.63015	0.078402	0.29406
PRKX	6	0.1786	0.90034	0.26653	0.81145	0.36794	0.59605	0.21326	1.0822	0.19749	0.79389	0.27918	0.52866
PRL	6	-0.016528	-0.065429	0.98727	0.99714	0.94783	0.9747	0.044435	0.17738	0.74962	0.97308	0.85921	0.92958
PRLH	6	0.1256	0.95657	0.42624	0.87561	0.33878	0.57247	0.27554	2.122	0.099612	0.67365	0.033835	0.20211
PRLHR	6	0.029931	0.3446	0.80475	0.97706	0.7304	0.85757	0.055501	0.64243	0.70198	0.97308	0.5206	0.72957
PRLR	6	-0.04553	-0.5298	0.85763	0.98136	0.59625	0.77146	-0.058254	-0.68236	0.79922	0.97349	0.49501	0.71112
PRM1	6	-0.14	-1.3551	0.4898	0.89371	0.17539	0.41118	-0.061554	-0.60362	0.78645	0.97308	0.5461	0.74766
PRM2	6	0.29479	2.7566	0.075519	0.61478	0.00584	0.10062	0.15625	1.466	0.33644	0.87075	0.14265	0.38801
PRM3	6	-0.079173	-1.0045	0.71864	0.95791	0.31512	0.55229	-0.021888	-0.28049	0.95601	0.99198	0.7791	0.88485
PRMT1	6	-0.46411	-3.3624	0.033493	0.48129	0.00077269	0.034843	-0.43943	-3.2057	0.044581	0.54273	0.0013473	0.043105
PRMT10	6	0.15417	1.3689	0.33561	0.84499	0.17103	0.40676	0.11275	1.006	0.47684	0.92716	0.31441	0.56277
PRMT2	6	-0.056613	-0.70332	0.81168	0.97746	0.48186	0.68849	0.018521	0.23136	0.86174	0.97741	0.81704	0.90586
PRMT3	6	0.042969	0.50657	0.7478	0.9642	0.61246	0.78171	-0.0041839	-0.049573	0.96377	0.99361	0.96046	0.98147
PRMT5	6	-0.25063	-0.9555	0.21725	0.81106	0.33932	0.57292	-0.2677	-1.0308	0.19069	0.79058	0.30263	0.55153
PRMT6	6	0.032741	0.2592	0.79233	0.97425	0.79548	0.89352	-0.13921	-1.1061	0.49227	0.93161	0.26869	0.52005
PRMT7	6	-0.063689	-0.77626	0.78198	0.97226	0.4376	0.65557	-0.010928	-0.13396	0.99448	0.99913	0.89344	0.94803
PRMT8	6	0.021549	0.17776	0.84061	0.9796	0.85891	0.93031	0.041752	0.34744	0.76112	0.97308	0.72826	0.8587
PRND	6	0.091552	1.1133	0.54775	0.90583	0.26557	0.50692	0.15408	1.8878	0.34333	0.87433	0.059049	0.25946
PRNP	6	0.15564	1.4594	0.33082	0.84184	0.14444	0.37333	0.097724	0.92154	0.53292	0.94029	0.35677	0.60013
PROB1	6	0.021349	0.20856	0.8412	0.9796	0.83479	0.91628	0.06988	0.68602	0.64184	0.9618	0.4927	0.70967
PROC	6	0.10447	1.3958	0.50071	0.89576	0.16278	0.39645	0.021772	0.29189	0.84695	0.97576	0.77037	0.87903
PROCA1	6	0.35752	2.5338	0.034041	0.48129	0.011283	0.13359	0.20553	1.4638	0.21323	0.80541	0.14325	0.38836
PROCR	6	0.12788	1.2029	0.4188	0.87347	0.22902	0.47076	0.079543	0.75144	0.60511	0.95493	0.45239	0.67943
PRODH	6	0.016001	0.2437	0.86366	0.98191	0.80746	0.90113	-0.083331	-1.2727	0.69596	0.97229	0.20311	0.4544
PRODH2	6	0.18787	1.5475	0.2454	0.81145	0.12174	0.3428	0.121	1.001	0.44682	0.91616	0.31681	0.56441
PROK1	6	0.056219	0.57029	0.69258	0.95142	0.56848	0.75099	0.074463	0.75943	0.62491	0.95837	0.4476	0.67564
PROK2	6	0.11338	1.0836	0.46785	0.8874	0.27853	0.51994	0.13112	1.2614	0.41716	0.90947	0.20716	0.45918
PROKR1	6	0.42188	1.8767	0.013415	0.34226	0.060557	0.25192	0.37261	1.6679	0.029158	0.47722	0.095338	0.32257
PROKR2	6	0.17503	1.0583	0.27579	0.81145	0.28994	0.53065	0.2805	1.7134	0.094	0.66176	0.086643	0.30903
PROL1	6	0.054872	0.23909	0.69792	0.95379	0.81104	0.90286	-0.055414	-0.24281	0.81054	0.97374	0.80815	0.90078
PROM1	6	0.18182	0.99278	0.25841	0.81145	0.32082	0.55755	0.049598	0.27157	0.72644	0.97308	0.78595	0.8884
PROM2	6	0.15706	1.7278	0.32594	0.83718	0.08403	0.29069	0.11863	1.3112	0.45613	0.92052	0.1898	0.44052
PROP1	6	0.060382	0.87186	0.67616	0.94593	0.38329	0.6086	0.10475	1.5215	0.50778	0.93776	0.12814	0.36925
PROS1	6	0.017501	0.20514	0.85626	0.98093	0.83746	0.91797	0.11833	1.3974	0.45731	0.92114	0.1623	0.40931
PROSC	6	0.091872	1.4106	0.54657	0.90581	0.15836	0.39141	0.094551	1.4607	0.54406	0.94122	0.1441	0.38934
PROSER1	6	-0.18349	-1.3777	0.36263	0.85502	0.16829	0.40352	-0.012434	-0.094221	0.99872	0.99982	0.92493	0.96299
PROSER2	6	-0.016366	-0.19643	0.98791	0.99714	0.84427	0.92155	0.01617	0.19558	0.87196	0.97754	0.84494	0.92174
PROX1	6	0.24699	2.6596	0.1332	0.72177	0.0078244	0.11493	0.099254	1.0723	0.52663	0.94029	0.2836	0.53313
PROX2	6	-0.12588	-1.7199	0.53712	0.9033	0.085459	0.29281	-0.024715	-0.34034	0.94328	0.98975	0.7336	0.8618
PROZ	6	-0.22065	-2.1739	0.2757	0.81145	0.029711	0.19864	-0.28827	-2.8582	0.16057	0.75187	0.0042606	0.078267
PRPF18	6	-0.30031	-1.4036	0.14506	0.73913	0.16044	0.39373	-0.35167	-1.6598	0.094867	0.66263	0.096962	0.32466
PRPF19	6	-0.26854	-1.1727	0.18663	0.7869	0.24092	0.48341	-0.40156	-1.7619	0.060643	0.58544	0.078088	0.29348
PRPF3	6	-0.6001	-3.6895	0.010678	0.31258	0.00022467	0.017975	-0.62085	-3.8461	0.0099019	0.31785	0.00012003	0.011462
PRPF31	6	-0.4585	-3.2477	0.03509	0.48652	0.0011636	0.044543	-0.43873	-3.1343	0.044718	0.54273	0.0017224	0.049023
PRPF38A	6	-0.78312	-4.9324	0.0033311	0.24202	8.1212e-07	0.0007119	-0.57306	-3.6657	0.014465	0.36563	0.00024663	0.017213
PRPF38B	6	-0.69395	-4.0327	0.0052475	0.25727	5.5138e-05	0.0085318	-0.57058	-3.3674	0.014921	0.36991	0.00075879	0.031606
PRPF39	6	-0.14134	-1.219	0.48551	0.89293	0.22285	0.46432	-0.41074	-3.5492	0.056719	0.58193	0.00038635	0.022223
PRPF4	6	-0.68623	-3.0792	0.0054757	0.25949	0.0020754	0.059994	-0.60513	-2.744	0.011408	0.33289	0.0060694	0.09249
PRPF40A	6	-0.33383	-1.697	0.10865	0.68038	0.08969	0.30119	-0.27368	-1.4076	0.18038	0.77815	0.15926	0.40631
PRPF40B	6	0.092937	0.72325	0.54314	0.90545	0.46953	0.6799	0.083206	0.65227	0.59019	0.95264	0.51423	0.72518
PRPF4B	6	-0.28897	-2.2837	0.15953	0.75983	0.022387	0.17761	-0.19057	-1.5222	0.34397	0.87433	0.12795	0.3691
PRPF6	6	-0.25032	-1.5749	0.21766	0.81106	0.11529	0.33323	-0.25031	-1.5857	0.21816	0.81156	0.11281	0.3482
PRPF8	6	-0.59673	-2.9456	0.010769	0.31258	0.0032237	0.075639	-0.66894	-3.323	0.0070272	0.29081	0.00089042	0.034174
PRPH	6	-0.14848	-1.8969	0.46402	0.88588	0.057835	0.24606	-0.080408	-1.0348	0.70773	0.97308	0.30076	0.54999
PRPH2	6	0.30914	1.8922	0.063199	0.58587	0.058459	0.24765	0.21363	1.3138	0.19653	0.79375	0.18891	0.43969
PRPS1	6	-0.0061874	-0.080115	0.96559	0.99493	0.93615	0.96904	-0.065303	-0.84964	0.76943	0.97308	0.39552	0.6339
PRPS1L1	6	-0.23502	-2.5489	0.24581	0.81145	0.010808	0.13085	-0.21724	-2.3701	0.2841	0.85211	0.017781	0.15051
PRPS2	6	0.12547	0.83622	0.42665	0.87563	0.40303	0.62575	0.1986	1.3354	0.22879	0.81985	0.18174	0.43201
PRPSAP1	6	0.12162	0.57355	0.43906	0.88114	0.56627	0.74979	-0.10709	-0.5054	0.60374	0.95453	0.61328	0.79597
PRPSAP2	6	0.067793	0.86668	0.64344	0.93539	0.38612	0.61148	0.043081	0.55421	0.75565	0.97308	0.57943	0.77165
PRR11	6	-0.25223	-2.4484	0.21469	0.81106	0.014348	0.14758	-0.1311	-1.2842	0.52069	0.9395	0.19908	0.45025
PRR12	6	0.12693	1.1807	0.42145	0.87451	0.23774	0.48	0.08242	0.77046	0.5937	0.95312	0.44102	0.66988
PRR13	6	-0.23387	-1.6779	0.24791	0.81145	0.093371	0.30608	-0.32366	-2.3328	0.11823	0.70122	0.019659	0.1578
PRR14	6	0.12582	1.0731	0.42523	0.87527	0.28325	0.52432	0.084988	0.72797	0.58344	0.95264	0.46663	0.68991
PRR14L	6	0.2101	1.5896	0.19744	0.79622	0.11193	0.32849	0.28709	2.19	0.086836	0.64927	0.028525	0.18692
PRR15	6	0.083198	1.1435	0.57988	0.91484	0.25285	0.49479	0.098646	1.3665	0.52927	0.94029	0.1718	0.41988
PRR15L	6	0.11502	1.1478	0.4627	0.88588	0.25106	0.49311	0.10227	1.0266	0.51691	0.9392	0.30461	0.55348
PRR16	6	0.18075	1.6514	0.26083	0.81145	0.09865	0.3142	0.21896	2.0116	0.18554	0.78585	0.044262	0.22648
PRR18	6	0.19027	1.4761	0.23897	0.81145	0.13993	0.3679	0.084576	0.65851	0.58535	0.95264	0.51021	0.72236
PRR19	6	0.1354	1.258	0.39265	0.85965	0.20839	0.44934	0.16859	1.5756	0.30094	0.85792	0.11513	0.35208
PRR20A	6	0.1732	1.9761	0.28022	0.81145	0.048138	0.22624	0.033426	0.38571	0.79512	0.97308	0.69971	0.84055
PRR20B	6	0.1732	1.9761	0.28022	0.81145	0.048138	0.22624	0.033426	0.38571	0.79512	0.97308	0.69971	0.84055
PRR20C	6	0.1732	1.9761	0.28022	0.81145	0.048138	0.22624	0.033426	0.38571	0.79512	0.97308	0.69971	0.84055
PRR20D	6	0.1732	1.9761	0.28022	0.81145	0.048138	0.22624	0.033426	0.38571	0.79512	0.97308	0.69971	0.84055
PRR20E	6	0.1732	1.9761	0.28022	0.81145	0.048138	0.22624	0.033426	0.38571	0.79512	0.97308	0.69971	0.84055
PRR21	6	0.18192	1.2418	0.25813	0.81145	0.21431	0.45614	0.27747	1.9226	0.097011	0.66562	0.054526	0.24898
PRR22	6	-0.041136	-0.59855	0.87734	0.98353	0.54947	0.73789	-0.072003	-1.0538	0.74205	0.97308	0.29196	0.54143
PRR23A	6	0.18398	1.3289	0.25357	0.81145	0.18389	0.42226	0.28102	2.0467	0.093133	0.66176	0.040687	0.21913
PRR23B	6	0.16888	1.3205	0.29135	0.81607	0.18667	0.42495	0.23146	1.8246	0.16135	0.75362	0.068059	0.27677
PRR23C	6	0.13741	1.4626	0.3869	0.85631	0.14358	0.37228	0.074711	0.7988	0.62414	0.95837	0.42441	0.6567
PRR24	6	-0.19268	-1.2552	0.33863	0.84499	0.20941	0.45059	-0.28821	-1.8879	0.16067	0.75187	0.059038	0.25946
PRR25	6	0.13613	0.84464	0.39087	0.85833	0.39831	0.62181	0.014438	0.089908	0.87931	0.97877	0.92836	0.96472
PRR3	6	-0.10091	-0.92907	0.63053	0.93013	0.35285	0.58432	-0.077213	-0.71632	0.72037	0.97308	0.47379	0.69537
PRR4	6	-0.32164	-2.6201	0.12083	0.70359	0.0087908	0.12056	-0.33655	-2.7617	0.10691	0.68669	0.0057505	0.090179
PRR5	6	0.20411	1.3014	0.20917	0.80605	0.19311	0.43168	0.21675	1.3915	0.18978	0.7893	0.16406	0.41142
PRR5-ARHGAP8	6	-0.24303	-1.4643	0.2313	0.81145	0.1431	0.37184	-0.22692	-1.3803	0.26315	0.84104	0.1675	0.41553
PRR5L	6	0.25613	1.7366	0.1206	0.70311	0.082462	0.28799	0.25797	1.7631	0.12047	0.70213	0.077883	0.29333
PRR7	6	0.10303	0.88561	0.50568	0.8964	0.37583	0.60255	-0.0096949	-0.083653	0.98891	0.99774	0.93333	0.96744
PRR9	6	0.15787	1.3256	0.32352	0.83502	0.18498	0.42321	0.18181	1.5372	0.26863	0.84667	0.12425	0.36453
PRRC1	6	0.011838	0.125	0.882	0.98363	0.90053	0.95214	-0.062286	-0.66077	0.78307	0.97308	0.50876	0.72116
PRRC2A	6	0.15736	1.2628	0.32512	0.83686	0.20667	0.44759	0.11632	0.93815	0.46411	0.92437	0.34817	0.59244
PRRC2B	6	-0.11308	-1.6108	0.5838	0.91727	0.10723	0.3249	-0.088694	-1.2733	0.67502	0.96819	0.2029	0.45415
PRRC2C	6	0.1143	0.9646	0.46461	0.8861	0.33474	0.56894	0.11096	0.94225	0.48419	0.92876	0.34606	0.59081
PRRG1	6	-0.10428	-0.50434	0.61839	0.92581	0.61402	0.78294	0.038223	0.18811	0.77477	0.97308	0.85079	0.92449
PRRG2	6	0.38125	2.6372	0.0235	0.42597	0.0083587	0.11849	0.2705	1.8792	0.10559	0.68502	0.060213	0.26176
PRRG3	6	0.22873	2.003	0.16304	0.76411	0.045177	0.22624	0.29999	2.6394	0.074059	0.62076	0.0083045	0.10714
PRRG4	6	-0.14536	-1.5828	0.47369	0.88962	0.11348	0.33077	-0.00019986	-0.0022069	0.94506	0.99007	0.99824	0.99901
PRRT1	6	0.18397	2.5714	0.25362	0.81145	0.010128	0.12867	0.13838	1.9424	0.39197	0.89669	0.052089	0.24361
PRRT2	6	-0.11632	-1.5645	0.57093	0.91173	0.11769	0.33756	-0.11418	-1.5433	0.58024	0.95264	0.12277	0.36172
PRRT3	6	-0.0055808	-0.090776	0.96249	0.99493	0.92767	0.96502	-0.0018609	-0.030476	0.953	0.99136	0.97569	0.98827
PRRT4	6	0.14122	1.6913	0.37353	0.85631	0.090778	0.30258	0.19351	2.3287	0.24011	0.82476	0.019877	0.15834
PRRX1	6	-0.0031135	-0.0299	0.9514	0.99376	0.97615	0.98901	-0.023939	-0.23117	0.94675	0.99026	0.81718	0.90586
PRRX2	6	-0.24951	-1.6847	0.21907	0.81145	0.092044	0.30456	-0.2595	-1.7692	0.20383	0.79686	0.076858	0.29212
PRSS1	6	0.069875	0.5053	0.63509	0.93254	0.61335	0.78232	-0.022481	-0.16347	0.95314	0.99136	0.87015	0.93523
PRSS12	6	0.21071	2.01	0.19621	0.79585	0.04443	0.22624	0.16323	1.5641	0.31526	0.86342	0.11779	0.35485
PRSS16	6	0.40123	2.2988	0.017385	0.38369	0.021517	0.1748	0.32253	1.857	0.055259	0.57557	0.063306	0.26654
PRSS2	6	0.14299	0.90955	0.36824	0.85631	0.36306	0.59209	0.082314	0.52671	0.59416	0.95312	0.5984	0.78545
PRSS21	6	-0.17705	-1.0263	0.38184	0.85631	0.30473	0.54332	-0.10403	-0.61046	0.61492	0.95746	0.54155	0.74488
PRSS22	6	0.11107	0.99141	0.47657	0.89037	0.32148	0.55803	0.0020339	0.018228	0.93548	0.98832	0.98546	0.9931
PRSS23	6	-0.089802	-0.87709	0.67406	0.94566	0.38044	0.60644	-0.10847	-1.0661	0.5984	0.95312	0.2864	0.53594
PRSS27	6	-0.044179	-0.43476	0.86475	0.98193	0.66374	0.81526	0.042304	0.42057	0.75898	0.97308	0.67407	0.83812
PRSS3	6	0.0018499	0.017278	0.9274	0.98819	0.98621	0.99381	-0.0392	-0.36848	0.87976	0.97888	0.71252	0.84868
PRSS33	6	-0.050552	-0.4326	0.83623	0.9796	0.66531	0.81673	-0.012734	-0.11002	0.9974	0.99982	0.9124	0.95682
PRSS35	6	0.12727	1.7899	0.42044	0.87436	0.073468	0.27442	0.046784	0.66042	0.74009	0.97308	0.50899	0.72129
PRSS36	6	0.10451	1.0436	0.50052	0.89557	0.29669	0.53606	0.15346	1.5425	0.34543	0.87552	0.12296	0.36208
PRSS37	6	0.27326	2.1846	0.098471	0.65924	0.028921	0.19774	0.1863	1.4936	0.25827	0.83737	0.13528	0.37801
PRSS38	6	0.010421	0.067111	0.88852	0.98463	0.94649	0.97414	0.029906	0.19391	0.81086	0.97374	0.84624	0.9225
PRSS42	6	0.14376	1.6505	0.36601	0.85631	0.09885	0.31452	0.13443	1.55	0.4058	0.90413	0.12113	0.35943
PRSS45	6	0.15007	1.2676	0.34762	0.84668	0.20495	0.44531	0.15931	1.3547	0.3258	0.86661	0.17551	0.42445
PRSS46	6	-0.023286	-0.25969	0.9567	0.9947	0.7951	0.89345	-0.079906	-0.89648	0.70997	0.97308	0.37	0.61117
PRSS48	6	0.14733	0.91264	0.35533	0.85085	0.36143	0.59072	0.19458	1.2168	0.23824	0.82472	0.22367	0.47621
PRSS50	6	0.14864	2.2699	0.35213	0.84974	0.023216	0.17959	0.14696	2.2581	0.36541	0.88402	0.023939	0.17305
PRSS53	6	-0.10896	-1.146	0.60018	0.92214	0.25179	0.49387	0.038118	0.40476	0.77522	0.97308	0.68565	0.84055
PRSS54	6	0.077404	0.93549	0.60392	0.92275	0.34954	0.58137	0.089249	1.0847	0.56569	0.94896	0.27805	0.52788
PRSS55	6	0.21858	1.3554	0.18166	0.78528	0.1753	0.411	0.15637	0.97361	0.33593	0.87075	0.33025	0.57695
PRSS56	6	-0.023339	-0.21337	0.9567	0.9947	0.83104	0.91398	0.045275	0.41796	0.74643	0.97308	0.67598	0.83961
PRSS57	6	0.13483	0.89285	0.39466	0.86054	0.37194	0.59923	0.18833	1.2557	0.25311	0.83328	0.20922	0.46137
PRSS58	6	0.13506	1.1379	0.39366	0.86046	0.25517	0.49684	0.21531	1.8264	0.19302	0.79076	0.067783	0.27615
PRSS8	6	0.10899	1.4798	0.4846	0.89293	0.13894	0.36728	0.10661	1.4574	0.50039	0.9347	0.14501	0.39031
PRTFDC1	6	-0.054698	-0.47755	0.81953	0.97749	0.63297	0.7942	-0.096132	-0.84429	0.64659	0.96227	0.39851	0.63612
PRTG	6	0.33783	1.8284	0.044171	0.52322	0.067487	0.26384	0.31084	1.6912	0.064522	0.59908	0.0908	0.31534
PRTN3	6	0.33965	1.6603	0.043121	0.52181	0.096849	0.31147	0.3593	1.767	0.034725	0.50297	0.077233	0.29263
PRUNE	6	-0.51805	-2.9111	0.021675	0.41376	0.0036012	0.080013	-0.50012	-2.8386	0.027379	0.47207	0.0045311	0.07995
PRUNE2	6	0.0010549	0.013902	0.93137	0.98946	0.98891	0.99481	0.055449	0.73527	0.70226	0.97308	0.46217	0.68619
PRX	6	0.035792	0.45574	0.77937	0.97226	0.64858	0.80553	0.070369	0.90117	0.64047	0.96166	0.3675	0.6095
PRY	6	0.1732	1.9761	0.28022	0.81145	0.048138	0.22624	0.033426	0.38571	0.79512	0.97308	0.69971	0.84055
PRY2	6	0.1732	1.9761	0.28022	0.81145	0.048138	0.22624	0.033426	0.38571	0.79512	0.97308	0.69971	0.84055
PSAP	6	0.054989	0.4867	0.6971	0.95362	0.62647	0.79037	0.17053	1.5236	0.2961	0.85564	0.12761	0.36878
PSAPL1	6	0.22061	1.9592	0.17737	0.7816	0.050084	0.22972	0.19358	1.7252	0.24006	0.82476	0.084496	0.30535
PSAT1	6	0.065907	0.72166	0.65106	0.93856	0.4705	0.6806	0.036116	0.39869	0.78366	0.97308	0.69012	0.84055
PSCA	6	0.14351	2.1322	0.36646	0.85631	0.032989	0.20642	0.086293	1.2873	0.5776	0.9518	0.198	0.44875
PSD	6	0.019051	0.2358	0.85042	0.98093	0.81359	0.90433	0.11478	1.4284	0.46913	0.92437	0.15316	0.3993
PSD2	6	0.067217	0.68573	0.64622	0.9366	0.49288	0.69635	0.098449	1.0092	0.52987	0.94029	0.31287	0.56146
PSD3	6	-0.085377	-0.90562	0.6929	0.95163	0.36514	0.5939	-0.11252	-1.2015	0.58544	0.95264	0.22955	0.48212
PSD4	6	0.50999	2.5869	0.0040611	0.24202	0.0096847	0.12671	0.35064	1.7875	0.038376	0.51627	0.07385	0.28734
PSEN1	6	-0.057657	-0.55654	0.80703	0.97734	0.57784	0.75806	-0.061055	-0.59362	0.78814	0.97308	0.55277	0.75288
PSEN2	6	0.27245	2.3464	0.099749	0.66343	0.018958	0.16572	0.24048	2.0798	0.14643	0.73652	0.037543	0.21021
PSENEN	6	-0.059504	-0.52679	0.79954	0.97623	0.59834	0.77264	-0.24763	-2.1974	0.22277	0.81546	0.027993	0.18546
PSG1	6	-0.18658	-1.3235	0.35487	0.85085	0.18567	0.42381	-0.10325	-0.74561	0.61784	0.95746	0.4559	0.68212
PSG11	6	0.10552	0.60214	0.49719	0.89522	0.54708	0.73586	0.090883	0.52242	0.55893	0.94623	0.60137	0.78799
PSG2	6	0.19735	1.3304	0.2235	0.81145	0.18339	0.42145	0.28803	1.9588	0.08606	0.647	0.050138	0.23912
PSG3	6	-0.0068469	-0.033502	0.96801	0.99531	0.97327	0.9874	-0.075666	-0.37309	0.72617	0.97308	0.70908	0.84689
PSG4	6	0.12381	0.58029	0.43199	0.87739	0.56172	0.74665	0.10284	0.48486	0.51472	0.93906	0.62778	0.80668
PSG5	6	0.2377	2.0742	0.14766	0.7422	0.038059	0.21783	0.23462	2.0616	0.15578	0.74629	0.039246	0.21534
PSG6	6	-0.093357	-0.76021	0.66046	0.94203	0.44713	0.66302	-0.025893	-0.21283	0.93867	0.98871	0.83146	0.91414
PSG8	6	0.054711	0.93549	0.69856	0.95403	0.34954	0.58137	-0.033889	-0.58254	0.90235	0.98355	0.56021	0.75825
PSG9	6	0.086439	0.99066	0.56669	0.91056	0.32185	0.5582	0.15195	1.7575	0.34976	0.8775	0.078827	0.29459
PSIP1	6	-0.4547	-1.8526	0.036596	0.49354	0.063939	0.25765	-0.38124	-1.5757	0.073192	0.61969	0.1151	0.35204
PSKH1	6	0.1237	1.5385	0.43226	0.87739	0.12392	0.34582	0.21712	2.7084	0.18923	0.7887	0.0067599	0.096888
PSKH2	6	0.24162	2.0146	0.14018	0.73004	0.043946	0.22624	0.25516	2.1409	0.12444	0.70538	0.032279	0.19771
PSMA1	6	-0.32039	-2.3185	0.12193	0.70573	0.020423	0.17109	-0.38251	-2.7848	0.072234	0.61571	0.0053554	0.087623
PSMA2	6	-0.15338	-0.78553	0.44992	0.88476	0.43214	0.65142	-0.068245	-0.35461	0.75756	0.97308	0.72288	0.85503
PSMA3	6	-0.057647	-0.30823	0.80712	0.97734	0.75791	0.87273	-0.13932	-0.74943	0.49195	0.9315	0.4536	0.67998
PSMA4	6	-0.61423	-3.8479	0.0096281	0.30914	0.00011912	0.013318	-0.42793	-2.7161	0.048642	0.54835	0.0066063	0.095997
